道路名+橋梁名+上下線+橋台橋脚番号no,Be(1-4),Af(1-4),点検日Ｂｅ,点検日Ａｆ,Ins,供用開始＝1,"パネル位置
【数字】","パネル位置
【英字】",桁端部=1,"最小
床版厚
（cm）","(21<J)…-1
(21=J)…0
(21>J)…1","床版支間長
（m）","斜角
最小角
（度）",橋梁（上下別）延長（橋梁単位）**,"合成非合成
【合成＝1
非合成＝0】","海砂の使用
【あり＝1
なし＝0】","累積軸数
0-3：3000万軸未満
4：3000万軸以上","凍結防止剤
0-3：1000ｔ未満
4：1000ｔ以上","飛来塩分
【あり＝1
なし＝0】","ＡＳＲ
【あり＝1
なし＝0】","データ詳細
　下＝1，
　下+＝2，
　複東＝3，
　複西＝4","説明変数
パネル位置
【数字】","説明変数
パネル位置
【英字A】","説明変数
パネル位置
【英字B】","説明変数
パネル位置
【英字AB】","累積軸数
0-3：3000万軸未満
4：3000万軸以上","凍結防止剤
0-3：1000ｔ未満
4：1000ｔ以上",,示方書,
2,1,1,2004,2008,4,0,6,1,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
2,1,1,1975,1997,22,1,7,1,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
2,1,1,1997,1999,2,0,7,1,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
2,1,1,1999,2000,1,0,7,1,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
2,1,1,2000,2001,1,0,7,1,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
2,1,1,2001,2004,3,0,7,1,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
2,1,1,2004,2008,4,0,7,1,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
2,1,1,1975,1997,22,1,8,1,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
2,1,1,1997,1999,2,0,8,1,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
2,1,1,1999,2000,1,0,8,1,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
2,1,1,2000,2001,1,0,8,1,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
2,1,1,2001,2004,3,0,8,1,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
2,1,1,2004,2008,4,0,8,1,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
2,1,1,1975,1997,22,1,1,2,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,1,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,1997,1999,2,0,1,2,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,1,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,1999,2000,1,0,1,2,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,1,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,2000,2001,1,0,1,2,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,1,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,2001,2004,3,0,1,2,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,1,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,2004,2008,4,0,1,2,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,1,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,1975,1997,22,1,2,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,1997,1999,2,0,2,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,1999,2000,1,0,2,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,2000,2001,1,0,2,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,2001,2004,3,0,2,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,2004,2008,4,0,2,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,1975,1997,22,1,3,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,1997,1999,2,0,3,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,1999,2000,1,0,3,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,2000,2001,1,0,3,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,2001,2004,3,0,3,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,2004,2008,4,0,3,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,1975,1997,22,1,4,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,1997,1999,2,0,4,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,1999,2000,1,0,4,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,2000,2001,1,0,4,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,2001,2004,3,0,4,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,2004,2008,4,0,4,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,1975,1997,22,1,5,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,1997,1999,2,0,5,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,1999,2000,1,0,5,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,2000,2001,1,0,5,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,2001,2004,3,0,5,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,2004,2008,4,0,5,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,1975,1997,22,1,6,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,1997,1999,2,0,6,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,1999,2000,1,0,6,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,2000,2001,1,0,6,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,2001,2004,3,0,6,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,2004,2008,4,0,6,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,1975,1997,22,1,7,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,1997,1999,2,0,7,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,1999,2000,1,0,7,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,2000,2001,1,0,7,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,2001,2004,3,0,7,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,2004,2008,4,0,7,2,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,1975,1997,22,1,8,2,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,1997,1999,2,0,8,2,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,1999,2000,1,0,8,2,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,2000,2001,1,0,8,2,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,2001,2004,3,0,8,2,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,2004,2008,4,0,8,2,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,1,1,0,0,連続,S47（-2012），H14,
2,1,1,1975,1997,22,1,1,3,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,1,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,1997,1999,2,0,1,3,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,1,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,1999,2000,1,0,1,3,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,1,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,2000,2001,1,0,1,3,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,1,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,2001,2004,3,0,1,3,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,1,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,2004,2008,4,0,1,3,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,1,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,1975,1997,22,1,2,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,1997,1999,2,0,2,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,1999,2000,1,0,2,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,2000,2001,1,0,2,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,2001,2004,3,0,2,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,2004,2008,4,0,2,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,1975,1997,22,1,3,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,1997,1999,2,0,3,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,1999,2000,1,0,3,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,2000,2001,1,0,3,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,2001,2004,3,0,3,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,2004,2008,4,0,3,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,1975,1997,22,1,4,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,1997,1999,2,0,4,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,1999,2000,1,0,4,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,2000,2001,1,0,4,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,2001,2004,3,0,4,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,2004,2008,4,0,4,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,1975,1997,22,1,5,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,1997,1999,2,0,5,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,1999,2000,1,0,5,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,2000,2001,1,0,5,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,2001,2004,3,0,5,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,2004,2008,4,0,5,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,1975,1997,22,1,6,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,1997,1999,2,0,6,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,1999,2000,1,0,6,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,2000,2001,1,0,6,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,2001,2004,3,0,6,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,2004,2008,4,0,6,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,1975,1997,22,1,7,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,1997,1999,2,0,7,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,1999,2000,1,0,7,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,2000,2001,1,0,7,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,2001,2004,3,0,7,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,2004,2008,4,0,7,3,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,1975,1997,22,1,8,3,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,1997,1999,2,0,8,3,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,1999,2000,1,0,8,3,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,2000,2001,1,0,8,3,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,2001,2004,3,0,8,3,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
2,1,1,2004,2008,4,0,8,3,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,0,0,0,0,0,連続,S47（-2012），H14,
3,1,1,1975,1997,22,1,1,1,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,1,1,0,1,0,0,連続,S47（-2012），H14,
3,1,1,1997,1999,2,0,1,1,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,1,1,0,1,0,0,連続,S47（-2012），H14,
3,1,1,1999,2000,1,0,1,1,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,1,1,0,1,0,0,連続,S47（-2012），H14,
3,1,1,2000,2001,1,0,1,1,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,1,1,0,1,0,0,連続,S47（-2012），H14,
3,1,1,2001,2004,3,0,1,1,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,1,1,0,1,0,0,連続,S47（-2012），H14,
3,1,1,2004,2009,5,0,1,1,1,21,0,2.7,90,387.3,0,0,0,0,1,0,1,1,1,0,1,0,0,連続,S47（-2012），H14,
3,1,1,1975,1997,22,1,2,1,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
3,1,1,1997,1999,2,0,2,1,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
3,1,1,1999,2000,1,0,2,1,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
3,1,1,2000,2001,1,0,2,1,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
3,1,1,2001,2004,3,0,2,1,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
3,1,1,2004,2009,5,0,2,1,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
3,1,1,1975,1997,22,1,3,1,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
3,1,1,1997,1999,2,0,3,1,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
3,1,1,1999,2000,1,0,3,1,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
3,1,1,2000,2001,1,0,3,1,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
3,1,1,2001,2004,3,0,3,1,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
3,1,1,2004,2009,5,0,3,1,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
3,1,1,1975,1997,22,1,4,1,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
3,1,1,1997,1999,2,0,4,1,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
3,1,1,1999,2000,1,0,4,1,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
3,1,1,2000,2001,1,0,4,1,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
3,1,1,2001,2004,3,0,4,1,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
3,1,1,2004,2009,5,0,4,1,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
3,1,1,1975,1997,22,1,5,1,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
3,1,1,1997,1999,2,0,5,1,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
3,1,1,1999,2000,1,0,5,1,0,21,0,2.7,90,387.3,0,0,0,0,1,0,1,0,1,0,1,0,0,連続,S47（-2012），H14,
